Tarikh,Waktu,Negeri,Kawasan,API
3/1/2014,1:00PM,Wilayah Persekutuan,Labuan,34
3/1/2014,1:00PM,Negeri Sembilan,Nilai,32
3/1/2014,1:00PM,Negeri Sembilan,Seremban,35
3/1/2014,1:00PM,Negeri Sembilan,Port Dickson,33
3/1/2014,1:00PM,Melaka,Bukit Rambai,71
3/1/2014,1:00PM,Melaka,Bandaraya Melaka,19
3/1/2014,1:00PM,Johor,Pasir Gudang,42
3/1/2014,1:00PM,Johor,Larkin Lama,39
3/1/2014,1:00PM,Johor,Muar,53
3/1/2014,1:00PM,Johor,Kota Tinggi,42
3/1/2014,1:00PM,Kelantan,Tanah Merah ,52
3/1/2014,1:00PM,Kelantan,"SMK Tanjung Chat, Kota Bharu",36
3/1/2014,1:00PM,Terengganu,Kemaman,46
3/1/2014,1:00PM,Terengganu,Paka,36
3/1/2014,1:00PM,Terengganu,Kuala Terengganu,48
3/1/2014,1:00PM,Pahang,Jerantut,20
3/1/2014,1:00PM,Pahang,"Indera Mahkota, Kuantan",39
3/1/2014,1:00PM,Pahang,"Balok Baru, Kuantan",44
3/1/2014,1:00PM,Sarawak,Kuching,23
3/1/2014,1:00PM,Sarawak,Sibu,20
3/1/2014,1:00PM,Sarawak,Bintulu,19
3/1/2014,1:00PM,Sarawak,Miri,19
3/1/2014,1:00PM,Sarawak,ILP Miri,15
3/1/2014,1:00PM,Sarawak,Sarikei,29
3/1/2014,1:00PM,Sarawak,Limbang,19
3/1/2014,1:00PM,Sarawak,Samarahan,29
3/1/2014,1:00PM,Sarawak,Sri Aman,24
3/1/2014,1:00PM,Sarawak,Kapit,17
3/1/2014,1:00PM,Sabah,Kota Kinabalu,32
3/1/2014,1:00PM,Sabah,Tawau,31
3/1/2014,1:00PM,Sabah,Keningau,27
3/1/2014,1:00PM,Sabah,Sandakan,35
4/1/2014,1:00PM,Perlis,Kangar,53
4/1/2014,1:00PM,Kedah,Langkawi,33
4/1/2014,1:00PM,Kedah,Alor Setar,36
4/1/2014,1:00PM,Kedah,"Bakar Arang, Sg. Petani",55
4/1/2014,1:00PM,Pulau Pinang,USM,41
4/1/2014,1:00PM,Pulau Pinang,Perai,45
4/1/2014,1:00PM,Pulau Pinang,"Seberang Jaya 2, Perai",39
4/1/2014,1:00PM,Perak,"Jalan Tasek, Ipoh",35
4/1/2014,1:00PM,Perak,"S K Jalan Pegoh, Ipoh",45
4/1/2014,1:00PM,Perak,"Kg. Air Putih, Taiping",19
4/1/2014,1:00PM,Perak,Seri Manjung,23
4/1/2014,1:00PM,Perak,Tanjung Malim,28
4/1/2014,1:00PM,Selangor,Pelabuhan Kelang,40
4/1/2014,1:00PM,Selangor,Petaling Jaya,24
4/1/2014,1:00PM,Selangor,Banting,44
4/1/2014,1:00PM,Selangor,Shah Alam,34
4/1/2014,1:00PM,Selangor,Kuala Selangor,18
4/1/2014,1:00PM,Wilayah Persekutuan,"Batu Muda,Kuala Lumpur",16
4/1/2014,1:00PM,Wilayah Persekutuan,"Cheras,Kuala Lumpur",35
4/1/2014,1:00PM,Wilayah Persekutuan,Putrajaya,41
4/1/2014,1:00PM,Wilayah Persekutuan,Labuan,36
4/1/2014,1:00PM,Negeri Sembilan,Nilai,39
4/1/2014,1:00PM,Negeri Sembilan,Seremban,22
4/1/2014,1:00PM,Negeri Sembilan,Port Dickson,46
4/1/2014,1:00PM,Melaka,Bukit Rambai,66
4/1/2014,1:00PM,Melaka,Bandaraya Melaka,25
4/1/2014,1:00PM,Johor,Pasir Gudang,32
4/1/2014,1:00PM,Johor,Larkin Lama,29
4/1/2014,1:00PM,Johor,Muar,54
4/1/2014,1:00PM,Johor,Kota Tinggi,31
4/1/2014,1:00PM,Kelantan,Tanah Merah ,24
4/1/2014,1:00PM,Kelantan,"SMK Tanjung Chat, Kota Bharu",57
4/1/2014,1:00PM,Terengganu,Kemaman,54
4/1/2014,1:00PM,Terengganu,Kuala Terengganu,50
4/1/2014,1:00PM,Pahang,Jerantut,22
4/1/2014,1:00PM,Pahang,"Indera Mahkota, Kuantan",48
4/1/2014,1:00PM,Pahang,"Balok Baru, Kuantan",52
4/1/2014,1:00PM,Sarawak,Kuching,26
4/1/2014,1:00PM,Sarawak,Sibu,32
4/1/2014,1:00PM,Sarawak,Bintulu,27
4/1/2014,1:00PM,Sarawak,Miri,17
4/1/2014,1:00PM,Sarawak,ILP Miri,15
4/1/2014,1:00PM,Sarawak,Sarikei,34
4/1/2014,1:00PM,Sarawak,Limbang,20
4/1/2014,1:00PM,Sarawak,Samarahan,34
4/1/2014,1:00PM,Sarawak,Sri Aman,24
4/1/2014,1:00PM,Sarawak,Kapit,12
4/1/2014,1:00PM,Sabah,Kota Kinabalu,31
4/1/2014,1:00PM,Sabah,Keningau,30
4/1/2014,1:00PM,Sabah,Sandakan,31
5/1/2014,1:00PM,Perlis,Kangar,55
5/1/2014,1:00PM,Kedah,Langkawi,39
5/1/2014,1:00PM,Kedah,Alor Setar,37
5/1/2014,1:00PM,Kedah,"Bakar Arang, Sg. Petani",59
5/1/2014,1:00PM,Pulau Pinang,USM,52
5/1/2014,1:00PM,Pulau Pinang,Perai,43
5/1/2014,1:00PM,Pulau Pinang,"Seberang Jaya 2, Perai",49
5/1/2014,1:00PM,Perak,"Jalan Tasek, Ipoh",35
5/1/2014,1:00PM,Perak,"S K Jalan Pegoh, Ipoh",36
5/1/2014,1:00PM,Perak,"Kg. Air Putih, Taiping",27
5/1/2014,1:00PM,Perak,Seri Manjung,24
5/1/2014,1:00PM,Perak,Tanjung Malim,38
5/1/2014,1:00PM,Selangor,Pelabuhan Kelang,47
5/1/2014,1:00PM,Selangor,Petaling Jaya,31
5/1/2014,1:00PM,Selangor,Banting,50
5/1/2014,1:00PM,Selangor,Shah Alam,49
5/1/2014,1:00PM,Selangor,Kuala Selangor,21
5/1/2014,1:00PM,Wilayah Persekutuan,"Batu Muda,Kuala Lumpur",27
5/1/2014,1:00PM,Wilayah Persekutuan,"Cheras,Kuala Lumpur",48
5/1/2014,1:00PM,Wilayah Persekutuan,Putrajaya,35
5/1/2014,1:00PM,Wilayah Persekutuan,Labuan,26
5/1/2014,1:00PM,Negeri Sembilan,Nilai,48
5/1/2014,1:00PM,Negeri Sembilan,Seremban,27
5/1/2014,1:00PM,Melaka,Bukit Rambai,63
5/1/2014,1:00PM,Melaka,Bandaraya Melaka,23
5/1/2014,1:00PM,Johor,Pasir Gudang,27
5/1/2014,1:00PM,Johor,Larkin Lama,24
5/1/2014,1:00PM,Johor,Muar,45
5/1/2014,1:00PM,Johor,Kota Tinggi,22
5/1/2014,1:00PM,Kelantan,Tanah Merah ,59
5/1/2014,1:00PM,Kelantan,"SMK Tanjung Chat, Kota Bharu",53
5/1/2014,1:00PM,Terengganu,Kemaman,44
5/1/2014,1:00PM,Terengganu,Paka,26
5/1/2014,1:00PM,Terengganu,Kuala Terengganu,37
5/1/2014,1:00PM,Pahang,Jerantut,25
5/1/2014,1:00PM,Pahang,"Indera Mahkota, Kuantan",46
5/1/2014,1:00PM,Pahang,"Balok Baru, Kuantan",46
5/1/2014,1:00PM,Sarawak,Kuching,18
5/1/2014,1:00PM,Sarawak,Sibu,20
5/1/2014,1:00PM,Sarawak,Bintulu,41
5/1/2014,1:00PM,Sarawak,Miri,30
5/1/2014,1:00PM,Sarawak,ILP Miri,12
5/1/2014,1:00PM,Sarawak,Sarikei,28
5/1/2014,1:00PM,Sarawak,Limbang,21
5/1/2014,1:00PM,Sarawak,Samarahan,28
5/1/2014,1:00PM,Sarawak,Sri Aman,23
5/1/2014,1:00PM,Sarawak,Kapit,16
5/1/2014,1:00PM,Sabah,Kota Kinabalu,33
5/1/2014,1:00PM,Sabah,Keningau,32
5/1/2014,1:00PM,Sabah,Sandakan,28
6/1/2014,1:00PM,Perlis,Kangar,50
6/1/2014,1:00PM,Kedah,Langkawi,33
6/1/2014,1:00PM,Kedah,Alor Setar,29
6/1/2014,1:00PM,Kedah,"Bakar Arang, Sg. Petani",57
6/1/2014,1:00PM,Pulau Pinang,USM,41
6/1/2014,1:00PM,Pulau Pinang,Perai,39
6/1/2014,1:00PM,Pulau Pinang,"Seberang Jaya 2, Perai",41
6/1/2014,1:00PM,Perak,"Jalan Tasek, Ipoh",42
6/1/2014,1:00PM,Perak,"S K Jalan Pegoh, Ipoh",40
6/1/2014,1:00PM,Perak,"Kg. Air Putih, Taiping",23
6/1/2014,1:00PM,Perak,Seri Manjung,23
6/1/2014,1:00PM,Perak,Tanjung Malim,25
6/1/2014,1:00PM,Selangor,Pelabuhan Kelang,45
6/1/2014,1:00PM,Selangor,Petaling Jaya,28
6/1/2014,1:00PM,Selangor,Banting,39
6/1/2014,1:00PM,Selangor,Shah Alam,27
6/1/2014,1:00PM,Selangor,Kuala Selangor,25
6/1/2014,1:00PM,Wilayah Persekutuan,"Batu Muda,Kuala Lumpur",28
6/1/2014,1:00PM,Wilayah Persekutuan,"Cheras,Kuala Lumpur",37
6/1/2014,1:00PM,Wilayah Persekutuan,Putrajaya,26
6/1/2014,1:00PM,Wilayah Persekutuan,Labuan,29
6/1/2014,1:00PM,Negeri Sembilan,Nilai,45
6/1/2014,1:00PM,Negeri Sembilan,Port Dickson,39
6/1/2014,1:00PM,Melaka,Bukit Rambai,66
6/1/2014,1:00PM,Melaka,Bandaraya Melaka,24
6/1/2014,1:00PM,Johor,Pasir Gudang,24
6/1/2014,1:00PM,Johor,Larkin Lama,15
6/1/2014,1:00PM,Johor,Muar,48
6/1/2014,1:00PM,Johor,Kota Tinggi,24
6/1/2014,1:00PM,Kelantan,Tanah Merah ,34
6/1/2014,1:00PM,Kelantan,"SMK Tanjung Chat, Kota Bharu",27
6/1/2014,1:00PM,Terengganu,Kemaman,48
6/1/2014,1:00PM,Terengganu,Kuala Terengganu,46
6/1/2014,1:00PM,Pahang,Jerantut,20
6/1/2014,1:00PM,Pahang,"Indera Mahkota, Kuantan",39
6/1/2014,1:00PM,Pahang,"Balok Baru, Kuantan",46
6/1/2014,1:00PM,Sarawak,Kuching,15
6/1/2014,1:00PM,Sarawak,Sibu,22
6/1/2014,1:00PM,Sarawak,Bintulu,29
6/1/2014,1:00PM,Sarawak,Miri,23
6/1/2014,1:00PM,Sarawak,ILP Miri,14
6/1/2014,1:00PM,Sarawak,Sarikei,28
6/1/2014,1:00PM,Sarawak,Limbang,19
6/1/2014,1:00PM,Sarawak,Samarahan,26
6/1/2014,1:00PM,Sarawak,Sri Aman,20
6/1/2014,1:00PM,Sarawak,Kapit,13
6/1/2014,1:00PM,Sabah,Tawau,29
6/1/2014,1:00PM,Sabah,Keningau,32
6/1/2014,1:00PM,Sabah,Sandakan,31
7/1/2014,1:00PM,Perlis,Kangar,52
7/1/2014,1:00PM,Kedah,Langkawi,32
7/1/2014,1:00PM,Kedah,Alor Setar,32
7/1/2014,1:00PM,Kedah,"Bakar Arang, Sg. Petani",54
7/1/2014,1:00PM,Pulau Pinang,USM,74
7/1/2014,1:00PM,Pulau Pinang,Perai,52
7/1/2014,1:00PM,Pulau Pinang,"Seberang Jaya 2, Perai",44
7/1/2014,1:00PM,Perak,"Jalan Tasek, Ipoh",38
7/1/2014,1:00PM,Perak,"S K Jalan Pegoh, Ipoh",35
7/1/2014,1:00PM,Perak,"Kg. Air Putih, Taiping",22
7/1/2014,1:00PM,Perak,Seri Manjung,22
7/1/2014,1:00PM,Perak,Tanjung Malim,31
7/1/2014,1:00PM,Selangor,Pelabuhan Kelang,42
7/1/2014,1:00PM,Selangor,Petaling Jaya,33
7/1/2014,1:00PM,Selangor,Banting,48
7/1/2014,1:00PM,Selangor,Shah Alam,35
7/1/2014,1:00PM,Selangor,Kuala Selangor,26
7/1/2014,1:00PM,Wilayah Persekutuan,"Batu Muda,Kuala Lumpur",31
7/1/2014,1:00PM,Wilayah Persekutuan,"Cheras,Kuala Lumpur",49
7/1/2014,1:00PM,Wilayah Persekutuan,Putrajaya,16
7/1/2014,1:00PM,Wilayah Persekutuan,Labuan,31
7/1/2014,1:00PM,Negeri Sembilan,Nilai,51
7/1/2014,1:00PM,Negeri Sembilan,Seremban,41
7/1/2014,1:00PM,Negeri Sembilan,Port Dickson,49
7/1/2014,1:00PM,Melaka,Bukit Rambai,37
7/1/2014,1:00PM,Johor,Pasir Gudang,47
7/1/2014,1:00PM,Johor,Larkin Lama,38
7/1/2014,1:00PM,Johor,Muar,54
7/1/2014,1:00PM,Johor,Kota Tinggi,43
7/1/2014,1:00PM,Kelantan,Tanah Merah ,53
7/1/2014,1:00PM,Kelantan,"SMK Tanjung Chat, Kota Bharu",40
7/1/2014,1:00PM,Terengganu,Kemaman,57
7/1/2014,1:00PM,Terengganu,Paka,48
7/1/2014,1:00PM,Terengganu,Kuala Terengganu,40
7/1/2014,1:00PM,Pahang,Jerantut,22
7/1/2014,1:00PM,Pahang,"Indera Mahkota, Kuantan",51
7/1/2014,1:00PM,Pahang,"Balok Baru, Kuantan",55
7/1/2014,1:00PM,Sarawak,Kuching,19
7/1/2014,1:00PM,Sarawak,Sibu,20
7/1/2014,1:00PM,Sarawak,Bintulu,21
7/1/2014,1:00PM,Sarawak,Miri,19
7/1/2014,1:00PM,Sarawak,ILP Miri,17
7/1/2014,1:00PM,Sarawak,Sarikei,28
7/1/2014,1:00PM,Sarawak,Limbang,22
7/1/2014,1:00PM,Sarawak,Samarahan,29
7/1/2014,1:00PM,Sarawak,Sri Aman,19
7/1/2014,1:00PM,Sabah,Kota Kinabalu,20
7/1/2014,1:00PM,Sabah,Keningau,27
7/1/2014,1:00PM,Sabah,Sandakan,31
8/1/2014,1:00PM,Perlis,Kangar,58
8/1/2014,1:00PM,Kedah,Langkawi,47
8/1/2014,1:00PM,Kedah,Alor Setar,44
8/1/2014,1:00PM,Kedah,"Bakar Arang, Sg. Petani",62
8/1/2014,1:00PM,Pulau Pinang,Perai,39
8/1/2014,1:00PM,Pulau Pinang,"Seberang Jaya 2, Perai",37
8/1/2014,1:00PM,Perak,"Jalan Tasek, Ipoh",41
8/1/2014,1:00PM,Perak,"S K Jalan Pegoh, Ipoh",44
8/1/2014,1:00PM,Perak,"Kg. Air Putih, Taiping",21
8/1/2014,1:00PM,Perak,Seri Manjung,21
8/1/2014,1:00PM,Selangor,Pelabuhan Kelang,42
8/1/2014,1:00PM,Selangor,Petaling Jaya,37
8/1/2014,1:00PM,Selangor,Banting,63
8/1/2014,1:00PM,Selangor,Shah Alam,62
8/1/2014,1:00PM,Selangor,Kuala Selangor,20
8/1/2014,1:00PM,Wilayah Persekutuan,"Batu Muda,Kuala Lumpur",28
8/1/2014,1:00PM,Wilayah Persekutuan,"Cheras,Kuala Lumpur",50
8/1/2014,1:00PM,Wilayah Persekutuan,Labuan,25
8/1/2014,1:00PM,Negeri Sembilan,Nilai,48
8/1/2014,1:00PM,Negeri Sembilan,Seremban,31
8/1/2014,1:00PM,Negeri Sembilan,Port Dickson,40
8/1/2014,1:00PM,Melaka,Bukit Rambai,61
8/1/2014,1:00PM,Johor,Pasir Gudang,41
8/1/2014,1:00PM,Johor,Larkin Lama,40
8/1/2014,1:00PM,Johor,Muar,55
8/1/2014,1:00PM,Johor,Kota Tinggi,40
8/1/2014,1:00PM,Kelantan,Tanah Merah ,66
8/1/2014,1:00PM,Kelantan,"SMK Tanjung Chat, Kota Bharu",58
8/1/2014,1:00PM,Terengganu,Kemaman,51
8/1/2014,1:00PM,Terengganu,Paka,39
8/1/2014,1:00PM,Terengganu,Kuala Terengganu,37
8/1/2014,1:00PM,Pahang,Jerantut,25
8/1/2014,1:00PM,Pahang,"Indera Mahkota, Kuantan",57
8/1/2014,1:00PM,Pahang,"Balok Baru, Kuantan",58
8/1/2014,1:00PM,Sarawak,Kuching,36
8/1/2014,1:00PM,Sarawak,Sibu,23
8/1/2014,1:00PM,Sarawak,Bintulu,13
8/1/2014,1:00PM,Sarawak,Miri,16
8/1/2014,1:00PM,Sarawak,ILP Miri,16
8/1/2014,1:00PM,Sarawak,Sarikei,25
8/1/2014,1:00PM,Sarawak,Limbang,20
8/1/2014,1:00PM,Sarawak,Samarahan,30
8/1/2014,1:00PM,Sarawak,Sri Aman,20
8/1/2014,1:00PM,Sarawak,Kapit,17
8/1/2014,1:00PM,Sabah,Kota Kinabalu,29
8/1/2014,1:00PM,Sabah,Tawau,29
8/1/2014,1:00PM,Sabah,Keningau,29
8/1/2014,1:00PM,Sabah,Sandakan,36
9/1/2014,1:00PM,Perlis,Kangar,53
9/1/2014,1:00PM,Kedah,Langkawi,42
9/1/2014,1:00PM,Kedah,Alor Setar,40
9/1/2014,1:00PM,Kedah,"Bakar Arang, Sg. Petani",61
9/1/2014,1:00PM,Pulau Pinang,USM,42
9/1/2014,1:00PM,Pulau Pinang,Perai,40
9/1/2014,1:00PM,Pulau Pinang,"Seberang Jaya 2, Perai",44
9/1/2014,1:00PM,Perak,"Jalan Tasek, Ipoh",42
9/1/2014,1:00PM,Perak,"S K Jalan Pegoh, Ipoh",45
9/1/2014,1:00PM,Perak,"Kg. Air Putih, Taiping",27
9/1/2014,1:00PM,Perak,Seri Manjung,31
9/1/2014,1:00PM,Perak,Tanjung Malim,31
9/1/2014,1:00PM,Selangor,Pelabuhan Kelang,55
9/1/2014,1:00PM,Selangor,Petaling Jaya,38
9/1/2014,1:00PM,Selangor,Banting,53
9/1/2014,1:00PM,Selangor,Shah Alam,50
9/1/2014,1:00PM,Selangor,Kuala Selangor,31
9/1/2014,1:00PM,Wilayah Persekutuan,"Batu Muda,Kuala Lumpur",24
9/1/2014,1:00PM,Wilayah Persekutuan,"Cheras,Kuala Lumpur",46
9/1/2014,1:00PM,Wilayah Persekutuan,Putrajaya,42
9/1/2014,1:00PM,Wilayah Persekutuan,Labuan,24
9/1/2014,1:00PM,Negeri Sembilan,Nilai,48
9/1/2014,1:00PM,Negeri Sembilan,Seremban,29
9/1/2014,1:00PM,Negeri Sembilan,Port Dickson,45
9/1/2014,1:00PM,Melaka,Bukit Rambai,62
9/1/2014,1:00PM,Melaka,Bandaraya Melaka,31
9/1/2014,1:00PM,Johor,Pasir Gudang,28
9/1/2014,1:00PM,Johor,Larkin Lama,30
9/1/2014,1:00PM,Johor,Muar,51
9/1/2014,1:00PM,Johor,Kota Tinggi,27
9/1/2014,1:00PM,Kelantan,Tanah Merah ,42
9/1/2014,1:00PM,Kelantan,"SMK Tanjung Chat, Kota Bharu",45
9/1/2014,1:00PM,Terengganu,Kemaman,31
9/1/2014,1:00PM,Terengganu,Paka,15
9/1/2014,1:00PM,Terengganu,Kuala Terengganu,17
9/1/2014,1:00PM,Pahang,Jerantut,22
9/1/2014,1:00PM,Pahang,"Indera Mahkota, Kuantan",32
9/1/2014,1:00PM,Pahang,"Balok Baru, Kuantan",33
9/1/2014,1:00PM,Sarawak,Kuching,34
9/1/2014,1:00PM,Sarawak,Sibu,28
9/1/2014,1:00PM,Sarawak,Miri,32
9/1/2014,1:00PM,Sarawak,ILP Miri,19
9/1/2014,1:00PM,Sarawak,Sarikei,27
9/1/2014,1:00PM,Sarawak,Limbang,20
9/1/2014,1:00PM,Sarawak,Samarahan,29
9/1/2014,1:00PM,Sarawak,Sri Aman,23
9/1/2014,1:00PM,Sarawak,Kapit,21
9/1/2014,1:00PM,Sabah,Kota Kinabalu,25
9/1/2014,1:00PM,Sabah,Tawau,27
9/1/2014,1:00PM,Sabah,Keningau,31
9/1/2014,1:00PM,Sabah,Sandakan,33
10/1/2014,1:00PM,Perlis,Kangar,40
10/1/2014,1:00PM,Kedah,Langkawi,25
10/1/2014,1:00PM,Kedah,Alor Setar,20
10/1/2014,1:00PM,Kedah,"Bakar Arang, Sg. Petani",47
10/1/2014,1:00PM,Pulau Pinang,USM,32
10/1/2014,1:00PM,Pulau Pinang,Perai,31
10/1/2014,1:00PM,Pulau Pinang,"Seberang Jaya 2, Perai",23
10/1/2014,1:00PM,Perak,"Jalan Tasek, Ipoh",43
10/1/2014,1:00PM,Perak,"S K Jalan Pegoh, Ipoh",45
10/1/2014,1:00PM,Perak,"Kg. Air Putih, Taiping",31
10/1/2014,1:00PM,Perak,Seri Manjung,23
10/1/2014,1:00PM,Perak,Tanjung Malim,18
10/1/2014,1:00PM,Selangor,Pelabuhan Kelang,52
10/1/2014,1:00PM,Selangor,Petaling Jaya,42
10/1/2014,1:00PM,Selangor,Banting,36
